DateID,Date,Year,Month,Day,Quarter,WeekOfYear,DayOfWeek,DayName,MonthName,IsWeekend,IsMonthStart,IsMonthEnd,IsQuarterStart,IsQuarterEnd,IsYearStart,IsYearEnd
63,2013-08-10,2013,8,10,3,32,6,Saturday,August,1,0,0,0,0,0,0
64,2013-08-11,2013,8,11,3,32,7,Sunday,August,1,0,0,0,0,0,0
65,2013-08-12,2013,8,12,3,33,1,Monday,August,0,0,0,0,0,0,0
66,2013-08-13,2013,8,13,3,33,2,Tuesday,August,0,0,0,0,0,0,0
67,2013-08-14,2013,8,14,3,33,3,Wednesday,August,0,0,0,0,0,0,0
68,2013-08-15,2013,8,15,3,33,4,Thursday,August,0,0,0,0,0,0,0
69,2013-08-16,2013,8,16,3,33,5,Friday,August,0,0,0,0,0,0,0
70,2013-08-17,2013,8,17,3,33,6,Saturday,August,1,0,0,0,0,0,0
71,2013-08-18,2013,8,18,3,33,7,Sunday,August,1,0,0,0,0,0,0
72,2013-08-19,2013,8,19,3,34,1,Monday,August,0,0,0,0,0,0,0
73,2013-08-20,2013,8,20,3,34,2,Tuesday,August,0,0,0,0,0,0,0
74,2013-08-21,2013,8,21,3,34,3,Wednesday,August,0,0,0,0,0,0,0
75,2013-08-22,2013,8,22,3,34,4,Thursday,August,0,0,0,0,0,0,0
76,2013-08-23,2013,8,23,3,34,5,Friday,August,0,0,0,0,0,0,0
77,2013-08-24,2013,8,24,3,34,6,Saturday,August,1,0,0,0,0,0,0
78,2013-08-25,2013,8,25,3,34,7,Sunday,August,1,0,0,0,0,0,0
79,2013-08-26,2013,8,26,3,35,1,Monday,August,0,0,0,0,0,0,0
80,2013-08-27,2013,8,27,3,35,2,Tuesday,August,0,0,0,0,0,0,0
81,2013-08-28,2013,8,28,3,35,3,Wednesday,August,0,0,0,0,0,0,0
82,2013-08-29,2013,8,29,3,35,4,Thursday,August,0,0,0,0,0,0,0
83,2013-08-30,2013,8,30,3,35,5,Friday,August,0,0,0,0,0,0,0
84,2013-08-31,2013,8,31,3,35,6,Saturday,August,1,0,1,0,0,0,0
85,2013-09-01,2013,9,1,3,35,7,Sunday,September,1,1,0,0,0,0,0
86,2013-09-02,2013,9,2,3,36,1,Monday,September,0,0,0,0,0,0,0
87,2013-09-03,2013,9,3,3,36,2,Tuesday,September,0,0,0,0,0,0,0
88,2013-09-04,2013,9,4,3,36,3,Wednesday,September,0,0,0,0,0,0,0
89,2013-09-05,2013,9,5,3,36,4,Thursday,September,0,0,0,0,0,0,0
